Kommune	Innlogginger	Tjenester	Elever
Gjemnes	22015	43	258
Smøla	27354	48	321
Sande	31982	34	309
Tingvoll	32935	45	473
Vanylven	35245	49	377
Stranda	50510	49	550
Fjord	56592	61	350
Aure	58549	59	434
Surnadal	81199	60	920
Sunndal	89876	54	1078
Averøy	93622	58	864
Aukra	95299	49	763
Hareid	116145	50	874
Herøy	125542	49	1221
Sykkylven	134357	58	920
Vestnes	135891	50	909
Volda	139884	58	1506
Rauma	151898	57	935
Sula	173816	50	1599
Giske	175858	57	1422
Ulstein	191576	65	1173
Haram	219170	50	1008
Ørsta	314918	60	1535
Kristiansund	350908	67	2866
Hustadvika	376125	64	1905
Molde	568967	68	4976
Ålesund	1545265	77	7968